lat,lon,depth,sal,temp,p,c,td
,,387.5,33.8425711,1.3325,NaN,29.45875,
,,388.5,33.84519305,1.324285714,NaN,29.45428571,
,,389.5,33.85247588,1.32375,NaN,29.46,
,,390.5,33.84518925,1.33,NaN,29.46,
,,391.5,33.8459818,1.32875,NaN,29.46,
,,392.5,33.84562033,1.328571429,NaN,29.46,
,,393.5,33.84511602,1.33,NaN,29.46125,
,,394.5,33.8447893,1.33,NaN,29.46142857,
,,395.5,33.85512559,1.33,NaN,29.47,
,,396.5,33.85453512,1.33,NaN,29.47,
,,397.5,33.90719499,1.332857143,NaN,29.51428571,
,,398.5,33.85342833,1.33,NaN,29.47,
,,399.5,33.85287508,1.33,NaN,29.47,
,,400.5,33.85232194,1.33,NaN,29.47,
,,401.5,33.8517689,1.33,NaN,29.47,
,,402.5,33.84852426,1.3325,NaN,29.47,
,,403.5,33.84912505,1.331428571,NaN,29.47,
,,404.5,33.84607302,1.33375,NaN,29.47,
,,405.5,33.84549753,1.337142857,NaN,29.47285714,
,,406.5,33.84997431,1.335,NaN,29.475,
,,407.5,33.84303329,1.335,NaN,29.47,
,,408.5,33.84786362,1.33,NaN,29.47,
,,409.5,33.85376734,1.33875,NaN,29.4825,
,,410.5,33.84731204,1.332857143,NaN,29.47285714,
,,411.5,33.84620726,1.33,NaN,29.47,
,,412.5,33.83686236,1.331428571,NaN,29.46428571,
,,413.5,33.84510351,1.33,NaN,29.47,
,,414.5,33.84609011,1.328571429,NaN,29.47,
,,415.5,33.84365109,1.32,NaN,29.46125,
,,416.5,33.8414745,1.32,NaN,29.46,
,,417.5,33.84344555,1.314285714,NaN,29.45714286,
,,418.5,33.8447859,1.31,NaN,29.455,
,,419.5,33.84695738,1.31,NaN,29.45714286,
,,420.5,33.84551375,1.31125,NaN,29.4575,
,,421.5,33.82770117,1.31,NaN,29.44285714,
,,422.5,33.84893378,1.31,NaN,29.46,
,,423.5,33.84112142,1.31,NaN,29.45428571,
,,424.5,33.83501359,1.30125,NaN,29.4425,
,,425.5,33.83259359,1.3,NaN,29.44,
,,426.5,33.83204267,1.3,NaN,29.44,
,,427.5,33.78730036,1.30125,NaN,29.40625,
,,428.5,33.8563615,1.3,NaN,29.46,
,,429.5,33.85581054,1.3,NaN,29.46,
,,430.5,33.8552597,1.3,NaN,29.46,
,,431.5,33.85470895,1.3,NaN,29.46,
,,432.5,33.85277543,1.30125,NaN,29.46,
,,433.5,33.84071053,1.308571429,NaN,29.45714286,
,,434.5,33.84225203,1.31,NaN,29.46,
,,435.5,33.841702,1.31,NaN,29.46,
,,436.5,33.84115206,1.31,NaN,29.46,
,,437.5,33.84060223,1.31,NaN,29.46,
,,438.5,33.84005251,1.31,NaN,29.46,
,,439.5,33.83950287,1.31,NaN,29.46,
,,440.5,33.83895334,1.31,NaN,29.46,
,,441.5,33.8383673,1.31,NaN,29.46,
,,442.5,33.84144785,1.31,NaN,29.46285714,
,,443.5,33.8388568,1.31,NaN,29.46125,
,,444.5,33.83671964,1.31,NaN,29.46,
,,445.5,33.81577827,1.31125,NaN,29.445,
,,446.5,33.83743654,1.31,NaN,29.46142857,
,,447.5,33.84411036,1.31,NaN,29.46714286,
,,448.5,33.84719112,1.31,NaN,29.47,
,,449.5,33.84664235,1.31,NaN,29.47,
,,450.5,33.84609366,1.31,NaN,29.47,
,,451.5,33.84554507,1.31,NaN,29.47,
,,452.5,33.84023304,1.31,NaN,29.46625,
,,453.5,33.83329684,1.31,NaN,29.46125,
,,454.5,33.83479017,1.31,NaN,29.46285714,
,,455.5,33.8322007,1.31,NaN,29.46125,
,,456.5,33.82462181,1.31,NaN,29.45571429,
,,457.5,33.81595902,1.31375,NaN,29.4525,
,,458.5,33.82002801,1.32,NaN,29.46142857,
,,459.5,33.82401529,1.32,NaN,29.465,
,,460.5,33.82343154,1.32,NaN,29.465,
,,461.5,33.8237913,1.32,NaN,29.46571429,
,,462.5,33.82392442,1.32,NaN,29.46625,
,,463.5,33.82451108,1.32,NaN,29.46714286,
,,464.5,33.82124347,1.32,NaN,29.465,
,,465.5,33.82542167,1.32,NaN,29.46875,
,,466.5,33.82646199,1.32,NaN,29.47,
,,467.5,33.83067661,1.32,NaN,29.47375,
,,468.5,33.82020581,1.321428571,NaN,29.46714286,
,,469.5,33.82262077,1.325,NaN,29.4725,
,,470.5,33.80989886,1.33,NaN,29.46714286,
,,471.5,33.82567138,1.33,NaN,29.48,
,,472.5,33.82606064,1.335,NaN,29.485,
,,473.5,33.83219734,1.341428571,NaN,29.49571429,
,,474.5,33.8347012,1.3525,NaN,29.5075,
,,475.5,33.84348287,1.358571429,NaN,29.52,
,,476.5,33.84457215,1.36,NaN,29.5225,
,,477.5,33.87789384,1.39625,NaN,29.58,
,,478.5,33.8717208,1.42,NaN,29.59571429,
,,479.5,33.88159029,1.42125,NaN,29.605,
,,480.5,33.87380735,1.427142857,NaN,29.60428571,
,,481.5,33.87536558,1.4275,NaN,29.60625,
,,482.5,33.87090427,1.42375,NaN,29.6,
,,483.5,33.86644061,1.425714286,NaN,29.59857143,
,,484.5,33.87235349,1.42875,NaN,29.60625,
,,485.5,33.88967896,1.43,NaN,29.62142857,
,,486.5,33.9001489,1.4475,NaN,29.645,
,,487.5,33.90226159,1.47,NaN,29.66625,
,,488.5,33.92622554,1.488571429,NaN,29.70142857,
,,489.5,33.92849584,1.4975,NaN,29.71125,
,,490.5,33.92188015,1.5,NaN,29.70857143,
,,491.5,33.91658858,1.49875,NaN,29.70375,
,,492.5,33.92572193,1.5,NaN,29.7125,
,,493.5,33.92309751,1.505714286,NaN,29.71571429,
,,494.5,33.93693629,1.515,NaN,29.735,
,,495.5,33.92290038,1.52,NaN,29.72857143,
,,496.5,33.94082247,1.51625,NaN,29.74,
,,497.5,33.93913429,1.51875,NaN,29.74125,
,,498.5,33.93747341,1.52,NaN,29.74142857,
,,499.5,33.92858006,1.51875,NaN,29.73375,
,,500.5,33.93638965,1.52,NaN,29.74142857,
,,501.5,33.93381008,1.51875,NaN,29.73875,
,,502.5,33.93323237,1.51875,NaN,29.73875,
,,503.5,33.93112127,1.52,NaN,29.73857143,
,,504.5,33.93664952,1.5175,NaN,29.74125,
,,505.5,33.93630679,1.51875,NaN,29.7425,
,,506.5,33.94615887,1.512857143,NaN,29.74571429,
