Date,Julian Day,Latitude,Longitude,Station name,Depth (m),Temp (°C),Conductivity (S/m),Salinity (PSU),Density (kg/m^3),Fluorescence (arbitrary),Turbidity (FTU),PAR/Irradiance,ID_CTD
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,104.0,1.564,2.9243,33.4785,1027.2814,0.12,0.169,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,105.0,1.564,2.9244,33.4795,1027.287,0.12,0.191,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,106.0,1.564,2.9246,33.4816,1027.2934,0.11,0.155,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,107.0,1.565,2.9247,33.481,1027.2976,0.12,0.158,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,108.0,1.551,2.9232,33.4762,1027.2996,0.12,0.205,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,109.0,1.517,2.9214,33.4885,1027.3167,0.11,0.139,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,110.0,1.502,2.9196,33.4811,1027.3166,0.12,0.19,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,111.0,1.482,2.9192,33.4965,1027.3352,0.12,0.207,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,112.0,1.477,2.9187,33.4951,1027.3392,0.12,0.216,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,113.0,1.470,2.9183,33.4973,1027.3462,0.10,0.199,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,114.0,1.463,2.9181,33.5026,1027.3558,0.12,0.178,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,115.0,1.455,2.9177,33.5047,1027.3628,0.13,0.216,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,116.0,1.440,2.9174,33.5163,1027.3779,0.10,0.182,0.0,Seabird SBE19plus
2018-10-13,43386,69° 11.1 N,53° 31.1 W,Fast station,117.0,1.431,2.9158,33.5053,1027.3746,0.10,0.161,0.0,Seabird SBE19plus
