MESSAGE,TIME,PRESSURE,TEMP,SALINITY,CONDUCTIVITY,INTERNAL_TEMP,potential_density
LGR_CP_PTSCI,20200917T011743,71.01746,1.97382,33.78367,29.81699,2.06519,1027.2082888625755
LGR_CP_PTSCI,20200917T223645,84.96275,1.93317,33.82015,29.81774,1.84125,1027.3061607809038
LGR_CP_PTSCI,20200917T223714,83.00154,2.00375,33.80471,29.86475,1.8826,1027.279108648693
LGR_CP_PTSCI,20200917T223744,80.99931,2.07565,33.8023,29.92328,1.92828,1027.262073801223
LGR_CP_PTSCI,20200917T223817,78.98217,2.10455,33.80074,29.9458,1.90811,1027.24903687785
LGR_CP_PTSCI,20200917T223850,76.9876,2.22748,33.78687,30.03879,1.94388,1027.2187126399847
LGR_CP_PTSCI,20200918T194828,84.99112,2.40021,33.86757,30.25535,2.23911,1027.3061669728295
LGR_CP_PTSCI,20200918T194856,83.00807,2.32336,33.86335,30.18514,2.22653,1027.299916941992
LGR_CP_PTSCI,20200918T194924,81.00927,2.36716,33.8546,30.21474,2.25647,1027.2799311370597
LGR_CP_PTSCI,20200918T194954,79.01362,2.39844,33.85623,30.24197,2.27536,1027.269238915967
LGR_CP_PTSCI,20200918T195023,77.01457,2.46545,33.85415,30.2969,2.3092,1027.2525611015974
LGR_CP_PTSCI,20200918T195053,74.98888,2.41733,33.85138,30.25245,2.30399,1027.244902518231
LGR_CP_PTSCI,20200918T195124,72.99863,2.36511,33.84409,30.20089,2.34427,1027.2341240856967
LGR_CP_PTSCI,20200918T195154,71.01908,2.36069,33.8382,30.19145,2.37897,1027.2205114017138
LGR_CP_PTSCI,20200918T195225,69.02274,2.37497,33.83533,30.20048,2.33057,1027.2076657671762
LGR_CP_PTSCI,20200921T170028,82.98961,2.21915,33.85701,30.09074,2.1311,1027.303368693354
LGR_CP_PTSCI,20200921T170049,81.02046,2.25854,33.85291,30.12029,2.12186,1027.2876296919248
LGR_CP_PTSCI,20200921T170111,79.00616,2.27847,33.85204,30.13576,2.16708,1027.275834339494
LGR_CP_PTSCI,20200921T170134,76.9827,2.28918,33.85161,30.14367,2.1575,1027.2651023142187
LGR_CP_PTSCI,20200921T170157,74.99635,2.30667,33.84578,30.15306,2.16324,1027.249693064321
LGR_CP_PTSCI,20200921T170220,72.98611,2.31088,33.83479,30.14691,2.21301,1027.231164768804
LGR_CP_PTSCI,20200921T170243,70.98146,2.32703,33.82161,30.14922,2.23596,1027.2099370527444
LGR_CP_PTSCI,20200924T135633,92.99148,2.1189,33.78426,29.95117,1.98315,1027.300676750563
LGR_CP_PTSCI,20200924T135659,90.98932,2.13974,33.77607,29.96149,2.02182,1027.2830699778838
LGR_CP_PTSCI,20200924T135727,88.96343,2.16061,33.76575,29.97013,1.99716,1027.2636528531125
LGR_CP_PTSCI,20200924T135756,86.99125,2.16266,33.76586,29.97106,2.00369,1027.2543007052902
LGR_CP_PTSCI,20200924T135826,85.00087,2.16147,33.74855,29.95526,2.04309,1027.2312729236253
LGR_CP_PTSCI,20200924T135929,80.99687,2.1301,33.80602,29.97276,2.05276,1027.2606665226708
LGR_CP_PTSCI,20200924T140001,79.00731,2.12656,33.75521,29.92811,2.08911,1027.2111828381069
LGR_CP_PTSCI,20200927T105516,93.01853,2.38269,33.81312,30.2,1.96103,1027.3020713548733
LGR_CP_PTSCI,20200927T105529,90.98618,2.44254,33.80561,30.2443,2.03247,1027.2815270682106
LGR_CP_PTSCI,20200927T105542,88.95316,2.48111,33.80378,30.27497,2.08347,1027.2672643232115
LGR_CP_PTSCI,20200927T105555,86.92802,2.51642,33.79643,30.29838,2.07327,1027.24891934363
LGR_CP_PTSCI,20200927T105608,84.99158,2.5271,33.78933,30.30091,2.10748,1027.2332841745613
LGR_CP_PTSCI,20200927T105620,83.05962,2.56598,33.78204,30.32747,2.17502,1027.2151055005768
LGR_CP_PTSCI,20200927T105633,81.06167,2.59058,33.78003,30.34603,2.16486,1027.2020245233962
LGR_CP_PTSCI,20200930T075413,94.98511,2.21048,33.78839,30.03362,2.05084,1027.3059096311472
LGR_CP_PTSCI,20200930T075438,92.99407,2.23706,33.77847,30.04745,2.13733,1027.2864927143426
LGR_CP_PTSCI,20200930T075503,91.00784,2.24072,33.77795,30.04927,2.12418,1027.2764449285035
LGR_CP_PTSCI,20200930T075529,89.00298,2.24326,33.7748,30.048,2.05798,1027.2643106345577
LGR_CP_PTSCI,20200930T075555,87.00834,2.25113,33.76338,30.04464,2.17502,1027.2452142842644
