=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 67
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-17 01:41:00 UTC
latitude:  69.0917445
longitude: -52.0037365
ttf:       0
nsat:      7
min snr:   32
mean snr:  38
max snr:   45
hdop:      1.4

fix kind:  DiveEnd
fix time:  2021-12-22 04:27:00 UTC
latitude:  69.0915683
longitude: -52.0085745
ttf:       140
nsat:      1
min snr:   0
mean snr:  0
max snr:   0
hdop:      1.2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        446.8800 │             2.7480 │        34.2090 │         276600 ║
║        447.0400 │             2.7480 │        34.2090 │         278400 ║
║        447.1600 │             2.7470 │        34.2100 │         280200 ║
║        447.2000 │             2.7490 │        34.2100 │         282000 ║
║        447.2000 │             2.7300 │        34.2040 │         283800 ║
║        447.1600 │             2.7310 │        34.2070 │         285600 ║
║        447.0800 │             2.7300 │        34.2060 │         287400 ║
║        446.9200 │             2.7480 │        34.2120 │         289200 ║
║        446.7600 │             2.7530 │        34.2100 │         291000 ║
║        446.5200 │             2.7590 │        34.2110 │         292800 ║
║        446.3200 │             2.7610 │        34.2130 │         294600 ║
║        446.1200 │             2.7510 │        34.2130 │         296400 ║
║        445.9200 │             2.7550 │        34.2100 │         298200 ║
║        445.7600 │             2.7580 │        34.2100 │         300000 ║
║        445.6000 │             2.7560 │        34.2100 │         301800 ║
║        445.4800 │             2.7580 │        34.2110 │         303600 ║
║        445.4000 │             2.7590 │        34.2090 │         305400 ║
║        445.4000 │             2.7550 │        34.2090 │         307200 ║
║        445.4000 │             2.7750 │        34.2100 │         309000 ║
║        445.4800 │             2.7960 │        34.2160 │         310800 ║
║        445.6000 │             2.7890 │        34.2170 │         312600 ║
║        445.7200 │             2.7860 │        34.2120 │         314400 ║
║        445.8400 │             2.7850 │        34.2130 │         316200 ║
║        445.9200 │             2.7810 │        34.2110 │         318000 ║
║        446.0400 │             2.7830 │        34.2100 │         319800 ║
║        446.1600 │             2.7820 │        34.2070 │         321600 ║
║        446.2400 │             2.7820 │        34.2110 │         323400 ║
║        446.2800 │             2.7890 │        34.2000 │         325200 ║
║        446.2800 │             2.7890 │        34.2140 │         327000 ║
║        446.2000 │             2.7790 │        34.2160 │         328800 ║
║        446.1200 │             2.8030 │        34.2030 │         330600 ║
║        445.9600 │             2.7860 │        34.1480 │         332400 ║
║        445.8000 │             2.7900 │        34.1960 │         334200 ║
║        445.6400 │             2.7910 │        34.1790 │         336000 ║
║        445.4400 │             2.7800 │        34.1840 │         337800 ║
║        445.3200 │             2.7730 │        34.2110 │         339600 ║
║        445.1600 │             2.7690 │        34.2070 │         341400 ║
║        445.0800 │             2.7760 │        34.2000 │         343200 ║
║        445.0000 │             2.7850 │        34.2080 │         345000 ║
║        444.9600 │             2.7820 │        34.2090 │         346800 ║
║        445.0000 │             2.7810 │        34.2090 │         348600 ║
║        445.1200 │             2.7800 │        34.2260 │         350400 ║
║        445.2400 │             2.7780 │        34.2270 │         352200 ║
║        445.4400 │             2.7770 │        34.2250 │         354000 ║
║        445.6800 │             2.7780 │        34.2270 │         355800 ║
║        445.9200 │             2.7740 │        34.2280 │         357600 ║
║        446.2000 │             2.7750 │        34.2260 │         359400 ║
║        446.4800 │             2.7750 │        34.2240 │         361200 ║
║        446.7200 │             2.7760 │        34.2260 │         363000 ║
║        446.9200 │             2.7760 │        34.2240 │         364800 ║
║        447.0800 │             2.7730 │        34.2230 │         366600 ║
║        447.2000 │             2.7700 │        34.2230 │         368400 ║
║        447.2400 │             2.7660 │        34.2210 │         370200 ║
║        447.2400 │             2.7630 │        34.2230 │         372000 ║
║        447.1600 │             2.7670 │        34.2210 │         373800 ║
║        447.0400 │             2.7710 │        34.2210 │         375600 ║
║        446.9200 │             2.7670 │        34.2220 │         377400 ║
║        446.7200 │             2.7610 │        34.2170 │         379200 ║
║        446.5200 │             2.7580 │        34.2180 │         381000 ║
║        446.3200 │             2.7560 │        34.2170 │         382800 ║
║        446.1200 │             2.7570 │        34.2190 │         384600 ║
║        445.9200 │             2.7680 │        34.2180 │         386400 ║
║        445.7600 │             2.7620 │        34.2190 │         388200 ║
║        445.6000 │             2.7780 │        34.2230 │         390000 ║
║        445.7200 │             2.8380 │        34.2360 │         391800 ║
║        445.6400 │             2.8450 │        34.2380 │         393600 ║
║        445.6400 │             2.8360 │        34.2360 │         395400 ║
║        445.6800 │             2.8310 │        34.2360 │         397200 ║
║        445.7200 │             2.8260 │        34.2350 │         399000 ║
║        445.8400 │             2.8230 │        34.2330 │         400800 ║
║        445.9600 │             2.8170 │        34.2320 │         402600 ║
║        446.0800 │             2.8190 │        34.2250 │         404400 ║
║        446.2000 │             2.8170 │        34.2300 │         406200 ║
║        446.3200 │             2.8170 │        34.2310 │         408000 ║
║        446.4400 │             2.8180 │        34.2300 │         409800 ║
║        446.4800 │             2.8160 │        34.2270 │         411600 ║
║        446.5200 │             2.8150 │        34.2290 │         413400 ║
║        446.5200 │             2.8130 │        34.2270 │         415200 ║
║        446.4800 │             2.8110 │        34.2290 │         417000 ║
║        446.4000 │             2.8100 │        34.2240 │         418800 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        446.3200 │             2.8040 │        34.2270 │       2.8420 ║
║        445.6000 │             2.7990 │        34.2290 │       2.8180 ║
║        444.5200 │             2.7910 │        34.2260 │       2.8730 ║
║        443.5200 │             2.7840 │        34.2280 │       2.9160 ║
║        442.5600 │             2.7750 │        34.2250 │       2.9310 ║
║        441.4800 │             2.7640 │        34.2240 │       2.8620 ║
║        440.3600 │             2.7590 │        34.2240 │       2.9020 ║
║        439.4400 │             2.7580 │        34.2230 │       2.8430 ║
║        438.4400 │             2.7570 │        34.2230 │       2.8870 ║
║        437.5200 │             2.7580 │        34.2210 │       2.8430 ║
║        436.5600 │             2.7540 │        34.2190 │       2.9160 ║
║        435.6400 │             2.7540 │        34.2220 │       2.9160 ║
║        434.6400 │             2.7500 │        34.2230 │       2.8430 ║
║        433.5200 │             2.7470 │        34.2220 │       2.8180 ║
║        432.4000 │             2.7450 │        34.2210 │       2.9310 ║
║        431.4800 │             2.7450 │        34.2220 │       2.8290 ║
║        430.5200 │             2.7420 │        34.2210 │       2.8580 ║
║        429.5600 │             2.7380 │        34.2200 │       2.7850 ║
║        428.6400 │             2.7360 │        34.2190 │       2.9160 ║
║        427.5600 │             2.7330 │        34.2180 │       2.8620 ║
║        426.4400 │             2.7300 │        34.2180 │       2.9020 ║
║        425.4800 │             2.7300 │        34.2170 │       2.7710 ║
║        424.4800 │             2.7280 │        34.2160 │       2.7710 ║
║        423.4800 │             2.7270 │        34.2170 │       2.7560 ║
║        422.4400 │             2.7250 │        34.2180 │       2.8430 ║
║        421.4000 │             2.7230 │        34.2160 │       2.8290 ║
║        420.5600 │             2.7210 │        34.2150 │       2.7630 ║
║        419.6400 │             2.7180 │        34.2140 │       2.6830 ║
║        418.6000 │             2.7150 │        34.2150 │       2.8290 ║
║        417.5200 │             2.7130 │        34.2130 │       2.8580 ║
║        416.4800 │             2.7130 │        34.2130 │       2.7850 ║
║        415.3600 │             2.7080 │        34.2130 │       2.7560 ║
║        414.4800 │             2.7050 │        34.2120 │       2.7410 ║
║        413.6000 │             2.7040 │        34.2130 │       2.8000 ║
║        412.4800 │             2.7030 │        34.2110 │       2.8290 ║
║        411.4400 │             2.7030 │        34.2120 │       2.7410 ║
║        410.5200 │             2.7030 │        34.2110 │       2.7850 ║
║        409.6400 │             2.7020 │        34.2120 │       2.8000 ║
║        408.5600 │             2.7010 │        34.2100 │       2.7710 ║
║        407.5200 │             2.7010 │        34.2120 │       2.6970 ║
║        406.4400 │             2.6990 │        34.2100 │       2.7410 ║
║        405.5200 │             2.6960 │        34.2120 │       2.8730 ║
║        404.6400 │             2.6940 │        34.2110 │       2.7850 ║
║        403.6000 │             2.6910 │        34.2090 │       2.7850 ║
║        402.5600 │             2.6870 │        34.2100 │       2.7710 ║
║        401.4800 │             2.6860 │        34.2090 │       2.7560 ║
║        400.4400 │             2.6840 │        34.2100 │       2.7560 ║
║        399.4000 │             2.6830 │        34.2090 │       2.7120 ║
║        398.3600 │             2.6800 │        34.2080 │       2.8580 ║
║        397.4800 │             2.6790 │        34.2060 │       2.6540 ║
║        396.6000 │             2.6770 │        34.2080 │       2.7270 ║
║        395.5600 │             2.6770 │        34.2070 │       2.8430 ║
║        394.4800 │             2.6770 │        34.2080 │       2.7410 ║
║        393.4800 │             2.6730 │        34.2060 │       2.7120 ║
║        392.4000 │             2.6680 │        34.2050 │       2.7710 ║
║        391.3200 │             2.6670 │        34.2050 │       2.6680 ║
║        390.4400 │             2.6670 │        34.2040 │       2.7410 ║
║        389.5600 │             2.6650 │        34.2060 │       2.6970 ║
║        388.5200 │             2.6630 │        34.2060 │       2.8000 ║
║        387.4000 │             2.6630 │        34.2040 │       2.7710 ║
║        386.5200 │             2.6600 │        34.2050 │       2.6760 ║
║        385.5600 │             2.6580 │        34.2030 │       2.6970 ║
║        384.4000 │             2.6540 │        34.2020 │       2.6830 ║
║        383.4800 │             2.6510 │        34.2030 │       2.8730 ║
║        382.4400 │             2.6500 │        34.2020 │       2.7270 ║
║        381.4800 │             2.6500 │        34.2020 │       2.6970 ║
║        380.4800 │             2.6500 │        34.2020 │       2.6970 ║
║        379.4800 │             2.6490 │        34.2020 │       2.7630 ║
║        378.5200 │             2.6490 │        34.2030 │       2.7560 ║
║        377.5200 │             2.6470 │        34.2030 │       2.8070 ║
║        376.5600 │             2.6460 │        34.2020 │       2.6240 ║
║        375.4000 │             2.6450 │        34.2010 │       2.7850 ║
║        374.4400 │             2.6380 │        34.1990 │       2.7410 ║
║        373.4800 │             2.6330 │        34.1980 │       2.7850 ║
║        372.4800 │             2.6300 │        34.1980 │       2.7410 ║
║        371.5200 │             2.6270 │        34.1950 │       2.6970 ║
║        370.5600 │             2.6210 │        34.1970 │       2.7190 ║
║        369.5200 │             2.6210 │        34.1950 │       2.7270 ║
║        368.5600 │             2.6200 │        34.1960 │       2.6760 ║
║        367.5600 │             2.6140 │        34.1930 │       2.7270 ║
║        366.4000 │             2.6070 │        34.1920 │       2.6390 ║
║        365.4400 │             2.6040 │        34.1930 │       2.6540 ║
║        364.4400 │             2.6000 │        34.1890 │       2.7410 ║
║        363.4800 │             2.5970 │        34.1880 │       2.6320 ║
║        362.4800 │             2.5940 │        34.1890 │       2.6830 ║
║        361.4800 │             2.5700 │        34.1780 │       2.7630 ║
║        360.5600 │             2.5560 │        34.1790 │       2.6830 ║
║        359.5600 │             2.5540 │        34.1800 │       2.7850 ║
║        358.6000 │             2.5540 │        34.1790 │       2.6830 ║
║        357.4400 │             2.5520 │        34.1780 │       2.7710 ║
║        356.4400 │             2.5470 │        34.1740 │       2.5880 ║
║        355.4800 │             2.5370 │        34.1750 │       2.7270 ║
║        354.4800 │             2.5350 │        34.1740 │       2.6970 ║
║        353.5200 │             2.5320 │        34.1720 │       2.5800 ║
║        352.5600 │             2.5290 │        34.1720 │       2.8070 ║
║        351.5600 │             2.5220 │        34.1680 │       2.5950 ║
