=============
Float 9313 (Alamo/Alto)
-------------
Float 9313, Dive 41
Product ID STANDARD
Software Version 10.2.2
Trajectory
GPS fixes:
fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤════════╗
║       time │ pressure (dBar) │   code ║
╟────────────┼─────────────────┼────────╢
║        479.2800 │             3.5400 │        34.4170 │       3.6050 ║
║        476.9600 │             3.5430 │        34.4180 │       3.5830 ║
║        474.4800 │             3.5430 │        34.4160 │       3.5190 ║
║        472.8800 │             3.5420 │        34.4190 │       3.5190 ║
║        471.2800 │             3.5430 │        34.4170 │       3.4770 ║
║        468.8800 │             3.5440 │        34.4180 │       3.4770 ║
║        466.6400 │             3.5440 │        34.4180 │       3.3910 ║
║        465.2000 │             3.5450 │        34.4170 │       3.4340 ║
║        463.3200 │             3.5460 │        34.4170 │       3.6050 ║
║        460.9200 │             3.5450 │        34.4160 │       3.4770 ║
║        458.5200 │             3.5440 │        34.4160 │       3.5190 ║
║        457.0000 │             3.5450 │        34.4160 │       3.5190 ║
║        455.6400 │             3.5440 │        34.4130 │       3.6050 ║
║        452.9600 │             3.5410 │        34.4140 │       3.5190 ║
║        450.5600 │             3.5400 │        34.4140 │       3.4340 ║
║        448.9600 │             3.5400 │        34.4150 │       3.4770 ║
║        447.3600 │             3.5400 │        34.4100 │       3.5190 ║
║        445.0800 │             3.5350 │        34.4130 │       3.4550 ║
║        442.6000 │             3.5220 │        34.4070 │       3.5190 ║
║        441.0400 │             3.5190 │        34.4100 │       3.4340 ║
║        439.4400 │             3.5180 │        34.4100 │       3.5190 ║
║        437.1600 │             3.5180 │        34.4100 │       3.5830 ║
║        434.6800 │             3.5260 │        34.4080 │       3.5190 ║
║        433.1200 │             3.5250 │        34.4050 │       3.6470 ║
║        431.5200 │             3.5240 │        34.4070 │       3.4770 ║
║        429.1200 │             3.5220 │        34.4050 │       3.5410 ║
║        426.8400 │             3.5180 │        34.4040 │       3.5620 ║
║        425.4400 │             3.5170 │        34.4030 │       3.4770 ║
║        423.5200 │             3.5110 │        34.3990 │       3.4770 ║
║        421.1200 │             3.5050 │        34.4000 │       3.5190 ║
║        418.7200 │             3.5030 │        34.4000 │       3.4770 ║
║        417.2000 │             3.4980 │        34.3970 │       3.6470 ║
║        415.8000 │             3.4950 │        34.3940 │       3.5620 ║
║        413.1600 │             3.4880 │        34.3940 │       3.4770 ║
║        410.8000 │             3.4870 │        34.3940 │       3.6050 ║
║        409.2000 │             3.4860 │        34.3940 │       3.4770 ║
║        406.9200 │             3.4860 │        34.3940 │       3.4770 ║
║        404.4400 │             3.4850 │        34.3930 │       3.3910 ║
║        402.8400 │             3.4830 │        34.3920 │       3.5620 ║
║        401.2400 │             3.4820 │        34.3920 │       3.5190 ║
║        398.8800 │             3.4770 │        34.3900 │       3.4980 ║
║        396.6400 │             3.4740 │        34.3910 │       3.5190 ║
║        394.8800 │             3.4700 │        34.3890 │       3.4770 ║
║        393.2800 │             3.4690 │        34.3890 │       3.5620 ║
║        390.9200 │             3.4690 │        34.3890 │       3.4980 ║
║        388.5600 │             3.4680 │        34.3890 │       3.5190 ║
║        387.0800 │             3.4680 │        34.3890 │       3.4770 ║
║        385.6800 │             3.4680 │        34.3880 │       3.5190 ║
║        383.0000 │             3.4670 │        34.3880 │       3.4550 ║
║        380.6000 │             3.4600 │        34.3800 │       3.4340 ║
║        379.0000 │             3.4530 │        34.3820 │       3.4770 ║
║        376.8000 │             3.4460 │        34.3790 │       3.5620 ║
║        374.2800 │             3.4390 │        34.3760 │       3.4340 ║
║        372.6800 │             3.4330 │        34.3770 │       3.4770 ║
║        371.1200 │             3.4310 │        34.3760 │       3.4770 ║
║        369.5200 │             3.4260 │        34.3730 │       3.5620 ║
║        367.2400 │             3.4220 │        34.3750 │       3.5410 ║
║        364.7600 │             3.4170 │        34.3730 │       3.5190 ║
║        363.2000 │             3.4170 │        34.3740 │       3.4770 ║
║        360.8000 │             3.4170 │        34.3750 │       3.5190 ║
║        358.4400 │             3.4220 │        34.3750 │       3.5190 ║
║        357.0400 │             3.4470 │        34.3850 │       3.4340 ║
║        355.2800 │             3.4510 │        34.3810 │       3.4340 ║
║        352.9200 │             3.4570 │        34.3730 │       3.4770 ║
║        350.5200 │             3.4520 │        34.3750 │       3.6050 ║
║        348.9600 │             3.4550 │        34.3790 │       3.5190 ║
║        346.8000 │             3.4670 │        34.3730 │       3.4120 ║
║        344.2000 │             3.5030 │        34.3810 │       3.5190 ║
║        342.6000 │             3.4980 │        34.3760 │       3.5620 ║
║        341.0000 │             3.5050 │        34.3900 │       3.4340 ║
║        339.4400 │             3.5200 │        34.3820 │       3.4770 ║
║        337.2000 │             3.5150 │        34.3760 │       3.4550 ║
║        334.6800 │             3.5060 │        34.3760 │       3.5620 ║
║        333.0800 │             3.5060 │        34.3720 │       3.4770 ║
║        331.4800 │             3.5040 │        34.3740 │       3.5620 ║
