gate,mean_x,mean_y,lon,lat,n_pixels,sector,region,Bjork_2015,Mouginot_2019,Zwally_2012,Moon_2008,Moon_2008_dist
148,758550,-2031800,-24.5266571218538,70.1715062895884,7,156,CE,Rolige Br,GEIKIE3,32,130,26156
149,786540,-2032100,-23.8386292506264,70.0805866775938,11,156,CE,Rolige Br,GEIKIE3,32,130,4547
150,605800,-2035837,-28.4242075743479,70.5728066194212,23,61,CE,Rolige Br,EIELSON_HARE_FJORD-ROLIGE,31,122,4484
151,733578,-2035400,-25.1803410904907,70.218422271552,19,154,CE,Rolige Br,BREDEGLETSJER,32,129,3691
152,694540,-2057700,-26.3471867325938,70.1456319372593,21,153,CE,Rolige Br,SYDBR,32,128,3452
153,-206850,-2068175,-50.7144355934965,70.9836596614772,25,6,CW,Sermeq Avannarleq,SERMEQ_SILARLEQ,72,14,7353
154,584150,-2067600,-29.2234858039383,70.3531118415268,18,76,CE,Vestfjord Gletsjer,VESTFJORD,31,124,4881
155,-206488,-2082188,-50.6653493962145,70.8587741906149,30,6,CW,Sermeq Silarleq,SERMEQ_SILARLEQ,72,13,6710
156,671876,-2089794,-27.1734536405582,69.9365116178403,39,98,CE,Rolige Br,MAGGA_DAN_GLETSCHER,32,127,3063
157,-202800,-2091300,-50.5374404295731,70.7798164788871,19,7,CW,Sisoortartukassak,CW_NONAME2,72,12,7613
158,656833,-2093050,-27.5736622114667,69.9481751658062,17,2,CE,Vestfjord Gletsjer,GEIKIE_UNNAMED_VESTFORD_S,32,126,4335
159,645900,-2094780,-27.8605594421705,69.963771766451,7,2,CE,Vestfjord Gletsjer,GEIKIE_UNNAMED_VESTFORD_S,32,125,6353
160,637957,-2096100,-28.0712950952787,69.9727780899408,15,2,CE,Vestfjord Gletsjer,GEIKIE_UNNAMED_VESTFORD_S,32,125,4234
161,-203866,-2102916,-50.5394710168295,70.6750342006598,24,8,CW,Sermilik,LILLE_GLETSCHER,72,11,5412
162,-202328,-2114700,-50.4657804843377,70.5709067882811,11,8,CW,Sermeq Avannarleq,LILLE_GLETSCHER,72,10,5131
163,-199592,-2122238,-50.3713869122363,70.5053353073125,32,9,CW,Sermeq Avannarleq,STORE_GLETSCHER,72,10,5463
164,766766,-2127300,-25.1777404992541,69.3437391250742,27,158,CE,Grnlands Styrelse Gletsjer,DENDRITGLETSCHER,32,134,4215
165,-204500,-2132006,-50.4800234628277,70.4134981775502,29,9,CW,Sermeq Kujalleq,STORE_GLETSCHER,72,9,3166
166,756600,-2144666,-25.563473727916,69.2271600858532,12,234,CE,Grnlands Styrelse Gletsjer,GEIKIE7,32,135,4935
167,-196708,-2168400,-50.1841816183348,70.0947986890355,34,10,CW,Sermeq Avannarleq,SERMEQ_AVANNARLEQ2,72,8,5402
169,-194625,-2181560,-50.1013280188849,69.9803013555387,44,81,CW,Sermeq Kujalleq,SERMEQ_KUJALLEQ,72,7,2528
170,745866,-2178833,-26.100103728729,68.9700065949529,18,157,CE,Gino Gletsjer,GEIKIE6,32,136,6730
177,-199400,-2186950,-50.208359420883,69.9283814080606,12,82,CW,Kangilernata Sermia,KANGILERNGATA_SERMIA,72,6,5344
180,-196136,-2200027,-50.094591207598,69.8131252788045,28,72,CW,Eqip Sermia,EQIP_SERMIA,72,5,5923
