=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 86
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-03-29 13:24:00 UTC
latitude:  69.1057132
longitude: -51.921413
ttf:       60
nsat:      6
min snr:   0
mean snr:  34
max snr:   45
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        412.2000 │             2.8250 │        34.1860 │         321601 ║
║        412.2400 │             2.8260 │        34.1860 │         323401 ║
║        412.2400 │             2.8230 │        34.1880 │         325201 ║
║        412.2000 │             2.8230 │        34.1840 │         327001 ║
║        412.1200 │             2.8230 │        34.1850 │         328801 ║
║        412.0000 │             2.8240 │        34.1850 │         330601 ║
║        411.8400 │             2.8590 │        34.1920 │         332401 ║
║        411.6800 │             2.8620 │        34.1960 │         334201 ║
║        411.4800 │             2.8700 │        34.2000 │         336001 ║
║        411.2800 │             2.8710 │        34.1970 │         337801 ║
║        411.0800 │             2.8830 │        34.2000 │         339601 ║
║        410.9200 │             2.8850 │        34.2020 │         341401 ║
║        410.7600 │             2.8840 │        34.2000 │         343201 ║
║        410.6800 │             2.8860 │        34.2050 │         345001 ║
║        410.6400 │             2.8850 │        34.2000 │         346801 ║
║        410.6400 │             2.8840 │        34.2000 │         348601 ║
║        410.6400 │             2.8830 │        34.1990 │         350401 ║
║        410.6800 │             2.8830 │        34.1990 │         352201 ║
║        410.7600 │             2.8830 │        34.2020 │         354001 ║
║        410.8800 │             2.8830 │        34.1990 │         355801 ║
║        411.0000 │             2.8760 │        34.1970 │         357601 ║
║        411.1200 │             2.8750 │        34.1950 │         359401 ║
║        411.2400 │             2.8720 │        34.1940 │         361201 ║
║        411.3600 │             2.8660 │        34.1960 │         363001 ║
║        411.4800 │             2.8560 │        34.1940 │         364801 ║
║        411.5200 │             2.8400 │        34.1910 │         366601 ║
║        411.5600 │             2.8440 │        34.1950 │         368401 ║
║        411.5600 │             2.8390 │        34.1850 │         370201 ║
║        411.5600 │             2.8390 │        34.1860 │         372001 ║
║        411.4800 │             2.8380 │        34.1860 │         373801 ║
║        411.4000 │             2.8340 │        34.1830 │         375601 ║
║        411.2800 │             2.8340 │        34.1860 │         377401 ║
║        411.1600 │             2.8340 │        34.1830 │         379201 ║
║        411.0000 │             2.8340 │        34.1830 │         381001 ║
║        410.8800 │             2.8340 │        34.1840 │         382801 ║
║        410.7600 │             2.8320 │        34.1770 │         384601 ║
║        410.6800 │             2.8330 │        34.1840 │         386401 ║
║        410.6000 │             2.8330 │        34.1810 │         388201 ║
║        410.5600 │             2.8320 │        34.1830 │         390001 ║
║        410.6000 │             2.8350 │        34.1830 │         391801 ║
║        410.6800 │             2.8350 │        34.1850 │         393601 ║
║        410.8000 │             2.8360 │        34.1830 │         395401 ║
║        410.9600 │             2.8350 │        34.1810 │         397201 ║
║        411.1600 │             2.8350 │        34.1760 │         399001 ║
║        411.4000 │             2.8350 │        34.1820 │         400801 ║
║        411.6000 │             2.8370 │        34.1820 │         402601 ║
║        411.8000 │             2.8370 │        34.1840 │         404401 ║
║        411.9600 │             2.8370 │        34.1810 │         406201 ║
║        412.1200 │             2.8360 │        34.1820 │         408001 ║
║        412.2400 │             2.8370 │        34.1870 │         409801 ║
║        412.3200 │             2.8360 │        34.1830 │         411601 ║
║        412.3200 │             2.8360 │        34.1830 │         413401 ║
║        412.3200 │             2.8360 │        34.1870 │         415201 ║
║        412.2000 │             2.8360 │        34.1820 │         417001 ║
║        412.0800 │             2.8360 │        34.1830 │         418801 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        412.0000 │             2.8350 │        34.1860 │       2.7960 ║
║        411.7200 │             2.8360 │        34.1860 │       2.8600 ║
║        410.5200 │             2.8350 │        34.1910 │       2.8290 ║
║        409.4800 │             2.8330 │        34.1930 │       2.9340 ║
║        408.5200 │             2.8290 │        34.1920 │       2.8460 ║
║        407.5200 │             2.8280 │        34.1950 │       2.8200 ║
║        406.5200 │             2.8280 │        34.1930 │       2.8810 ║
║        405.5600 │             2.8280 │        34.1940 │       2.9420 ║
║        404.5200 │             2.8280 │        34.1950 │       2.9160 ║
║        403.5200 │             2.8270 │        34.1930 │       2.9510 ║
║        402.5200 │             2.8250 │        34.1930 │       2.8730 ║
║        401.5200 │             2.8240 │        34.1930 │       2.9510 ║
║        400.5200 │             2.8230 │        34.1930 │       2.8730 ║
║        399.5600 │             2.8230 │        34.1940 │       2.8460 ║
║        398.5600 │             2.8230 │        34.1940 │       2.8290 ║
║        397.5200 │             2.8240 │        34.1930 │       2.8430 ║
║        396.4800 │             2.8240 │        34.1950 │       2.8990 ║
║        395.5200 │             2.8240 │        34.1950 │       2.8460 ║
║        394.5600 │             2.8230 │        34.1940 │       2.9250 ║
║        393.5200 │             2.8230 │        34.1940 │       2.8580 ║
║        392.4400 │             2.8230 │        34.1940 │       2.7760 ║
║        391.4800 │             2.8220 │        34.1950 │       2.7960 ║
║        390.5600 │             2.8210 │        34.1950 │       2.8400 ║
║        389.6400 │             2.8210 │        34.1950 │       2.8940 ║
║        388.6000 │             2.8210 │        34.1960 │       2.8290 ║
║        387.5600 │             2.8210 │        34.1970 │       2.8290 ║
║        386.5200 │             2.8200 │        34.1950 │       2.8290 ║
║        385.4800 │             2.8200 │        34.1940 │       2.8400 ║
║        384.4400 │             2.8190 │        34.1960 │       2.9270 ║
║        383.4800 │             2.8180 │        34.1950 │       2.9160 ║
║        382.6000 │             2.8180 │        34.1960 │       2.8400 ║
║        381.5600 │             2.8180 │        34.1970 │       2.8180 ║
║        380.4800 │             2.8180 │        34.1950 │       2.9050 ║
║        379.4800 │             2.8140 │        34.1960 │       2.8730 ║
║        378.4000 │             2.8120 │        34.1950 │       2.8730 ║
║        377.4800 │             2.8120 │        34.1930 │       2.8580 ║
║        376.5600 │             2.8110 │        34.1940 │       2.8510 ║
║        375.4800 │             2.8110 │        34.1930 │       2.8180 ║
║        374.4000 │             2.8090 │        34.1940 │       2.8730 ║
║        373.4800 │             2.8080 │        34.1920 │       2.8290 ║
║        372.5600 │             2.8070 │        34.1930 │       2.8070 ║
║        371.4800 │             2.8050 │        34.1920 │       2.8730 ║
║        370.4400 │             2.7970 │        34.1910 │       2.7850 ║
║        369.4000 │             2.7960 │        34.1880 │       2.8400 ║
║        368.4800 │             2.7950 │        34.1880 │       3.0030 ║
║        367.5600 │             2.7930 │        34.1870 │       2.9490 ║
║        366.5200 │             2.7890 │        34.1870 │       2.8840 ║
║        365.5200 │             2.7830 │        34.1840 │       2.8400 ║
║        364.4400 │             2.7730 │        34.1810 │       2.7740 ║
║        363.4800 │             2.7710 │        34.1800 │       2.8000 ║
║        362.4800 │             2.7700 │        34.1800 │       2.9490 ║
║        361.4400 │             2.7690 │        34.1800 │       3.0030 ║
║        360.4400 │             2.7670 │        34.1790 │       2.8510 ║
║        359.3600 │             2.7640 │        34.1770 │       2.9310 ║
║        358.4800 │             2.7600 │        34.1770 │       2.8730 ║
║        357.6000 │             2.7560 │        34.1740 │       2.8000 ║
║        356.5600 │             2.7550 │        34.1740 │       2.8400 ║
║        355.5200 │             2.7520 │        34.1720 │       2.7850 ║
║        354.4800 │             2.7500 │        34.1730 │       2.8070 ║
║        353.4400 │             2.7500 │        34.1740 │       2.8000 ║
║        352.5600 │             2.7500 │        34.1730 │       2.8140 ║
║        351.5200 │             2.7490 │        34.1730 │       2.7850 ║
║        350.5200 │             2.7470 │        34.1730 │       2.8430 ║
║        349.4800 │             2.7380 │        34.1690 │       2.8400 ║
║        348.4400 │             2.7300 │        34.1690 │       2.8290 ║
║        347.5600 │             2.7260 │        34.1680 │       2.7410 ║
║        346.5200 │             2.7240 │        34.1680 │       2.8290 ║
║        345.4400 │             2.7220 │        34.1670 │       2.7710 ║
║        344.5600 │             2.7160 │        34.1640 │       2.7710 ║
║        343.5200 │             2.7070 │        34.1640 │       2.8510 ║
║        342.4800 │             2.7020 │        34.1630 │       2.8000 ║
║        341.5200 │             2.6980 │        34.1620 │       2.7270 ║
║        340.4800 │             2.6980 │        34.1610 │       2.7520 ║
║        339.4400 │             2.6980 │        34.1620 │       2.7410 ║
║        338.5200 │             2.7000 │        34.1630 │       2.7120 ║
║        337.4800 │             2.7010 │        34.1610 │       2.7410 ║
║        336.4000 │             2.7010 │        34.1590 │       2.7850 ║
║        335.5200 │             2.7000 │        34.1600 │       2.7410 ║
║        334.6000 │             2.6990 │        34.1590 │       2.7410 ║
║        333.5200 │             2.6980 │        34.1590 │       2.6860 ║
║        332.4400 │             2.6960 │        34.1570 │       2.7120 ║
║        331.4800 │             2.6970 │        34.1590 │       2.9020 ║
║        330.4800 │             2.7010 │        34.1600 │       2.7560 ║
║        329.4800 │             2.7040 │        34.1580 │       2.7410 ║
║        328.4800 │             2.7040 │        34.1580 │       2.7270 ║
║        327.4400 │             2.7020 │        34.1570 │       2.8870 ║
║        326.4400 │             2.6990 │        34.1570 │       2.7410 ║
║        325.4000 │             2.7010 │        34.1570 │       2.7850 ║
║        324.4400 │             2.6930 │        34.1550 │       2.6970 ║
║        323.4000 │             2.6910 │        34.1540 │       2.7270 ║
║        322.4000 │             2.6920 │        34.1550 │       2.7560 ║
║        321.4000 │             2.6980 │        34.1520 │       2.6680 ║
║        320.4000 │             2.6970 │        34.1510 │       2.8140 ║
║        319.3600 │             2.6970 │        34.1500 │       2.6240 ║
║        318.3600 │             2.6950 │        34.1510 │       2.7850 ║
║        317.3600 │             2.6950 │        34.1520 │       2.6680 ║
║        316.5200 │             2.6950 │        34.1510 │       2.7410 ║
║        315.6800 │             2.6940 │        34.1500 │       2.6540 ║
║        314.6400 │             2.6900 │        34.1490 │       2.7850 ║
║        313.6800 │             2.6890 │        34.1490 │       2.6970 ║
║        312.6000 │             2.6900 │        34.1490 │       2.7410 ║
║        311.6000 │             2.6890 │        34.1490 │       2.7850 ║
║        310.5600 │             2.6830 │        34.1470 │       2.7410 ║
