=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 80
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        400.4800 │             2.8270 │        34.1880 │         294601 ║
║        400.4800 │             2.8230 │        34.1850 │         296401 ║
║        400.4800 │             2.8220 │        34.1850 │         298201 ║
║        400.4800 │             2.8210 │        34.1840 │         300001 ║
║        400.4400 │             2.8220 │        34.1860 │         301801 ║
║        400.4000 │             2.8220 │        34.1830 │         303601 ║
║        400.3200 │             2.8220 │        34.1850 │         305401 ║
║        400.2400 │             2.8230 │        34.1860 │         307201 ║
║        400.1200 │             2.8230 │        34.1850 │         309001 ║
║        400.0400 │             2.8240 │        34.1890 │         310801 ║
║        399.9600 │             2.8340 │        34.1940 │         312601 ║
║        399.8400 │             2.8410 │        34.2010 │         314401 ║
║        399.7600 │             2.8540 │        34.2100 │         316201 ║
║        399.7200 │             2.8500 │        34.2110 │         318001 ║
║        399.6800 │             2.8530 │        34.2080 │         319801 ║
║        399.6400 │             2.8550 │        34.2090 │         321601 ║
║        399.6400 │             2.8570 │        34.2080 │         323401 ║
║        399.6800 │             2.8480 │        34.2080 │         325201 ║
║        399.7200 │             2.8400 │        34.1980 │         327001 ║
║        399.7600 │             2.8390 │        34.1940 │         328801 ║
║        399.8400 │             2.8420 │        34.1990 │         330601 ║
║        399.8800 │             2.8400 │        34.1970 │         332401 ║
║        399.9600 │             2.8380 │        34.1960 │         334201 ║
║        400.0000 │             2.8370 │        34.1930 │         336001 ║
║        400.0000 │             2.8320 │        34.1910 │         337801 ║
║        400.0400 │             2.8300 │        34.1870 │         339601 ║
║        400.0000 │             2.8300 │        34.1900 │         341401 ║
║        399.9600 │             2.8310 │        34.1890 │         343201 ║
║        399.8800 │             2.8310 │        34.1890 │         345001 ║
║        399.8000 │             2.8320 │        34.1910 │         346801 ║
║        399.7200 │             2.8310 │        34.1860 │         348601 ║
║        399.6000 │             2.8290 │        34.1890 │         350401 ║
║        399.5200 │             2.8310 │        34.1890 │         352201 ║
║        399.4400 │             2.8320 │        34.1880 │         354002 ║
║        399.3200 │             2.8330 │        34.1910 │         355801 ║
║        399.2400 │             2.8340 │        34.1910 │         357601 ║
║        399.2000 │             2.8340 │        34.1900 │         359401 ║
║        399.1200 │             2.8320 │        34.1900 │         361201 ║
║        399.1200 │             2.8320 │        34.1900 │         363001 ║
║        399.1200 │             2.8330 │        34.1930 │         364801 ║
║        399.2000 │             2.8350 │        34.1900 │         366601 ║
║        399.2800 │             2.8370 │        34.1930 │         368401 ║
║        399.4000 │             2.8380 │        34.1940 │         370201 ║
║        399.5200 │             2.8380 │        34.1920 │         372001 ║
║        399.6400 │             2.8410 │        34.1900 │         373801 ║
║        399.8000 │             2.8390 │        34.1930 │         375601 ║
║        399.9200 │             2.8400 │        34.1940 │         377401 ║
║        400.0400 │             2.8380 │        34.1970 │         379201 ║
║        400.1600 │             2.8390 │        34.1940 │         381001 ║
║        400.3200 │             2.8380 │        34.1920 │         382801 ║
║        400.4400 │             2.8380 │        34.1890 │         384601 ║
║        400.5200 │             2.8380 │        34.1900 │         386401 ║
║        400.6000 │             2.8260 │        34.1820 │         388201 ║
║        400.6400 │             2.8270 │        34.1860 │         390001 ║
║        400.6400 │             2.8260 │        34.1860 │         391801 ║
║        400.6000 │             2.8270 │        34.1850 │         393601 ║
║        400.5200 │             2.8270 │        34.1870 │         395401 ║
║        400.4400 │             2.8270 │        34.1840 │         397201 ║
║        400.3200 │             2.8280 │        34.1850 │         399001 ║
║        400.1600 │             2.8290 │        34.1810 │         400801 ║
║        400.0400 │             2.8310 │        34.1880 │         402601 ║
║        399.9200 │             2.8380 │        34.1910 │         404401 ║
║        399.8000 │             2.8450 │        34.1980 │         406201 ║
║        399.7200 │             2.8430 │        34.1930 │         408001 ║
║        399.6800 │             2.8440 │        34.1960 │         409801 ║
║        399.6400 │             2.8450 │        34.1970 │         411601 ║
║        399.6400 │             2.8420 │        34.1980 │         413401 ║
║        399.6400 │             2.8420 │        34.1950 │         415201 ║
║        399.6400 │             2.8400 │        34.1910 │         417001 ║
║        399.6800 │             2.8370 │        34.1890 │         418801 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        399.8400 │             2.8350 │        34.1910 │       2.8710 ║
║        398.5200 │             2.8310 │        34.1920 │       2.8580 ║
║        397.5600 │             2.8300 │        34.1900 │       2.8730 ║
║        396.5200 │             2.8280 │        34.1900 │       2.9310 ║
║        395.4800 │             2.8260 │        34.1890 │       2.8290 ║
║        394.5200 │             2.8220 │        34.1860 │       2.8290 ║
║        393.5200 │             2.8210 │        34.1860 │       2.9820 ║
║        392.5600 │             2.8210 │        34.1860 │       2.9160 ║
║        391.5600 │             2.8210 │        34.1860 │       2.8900 ║
║        390.5200 │             2.8210 │        34.1860 │       2.8900 ║
║        389.4800 │             2.8230 │        34.1860 │       2.9930 ║
║        388.5200 │             2.8250 │        34.1850 │       2.8840 ║
║        387.6000 │             2.8260 │        34.1870 │       2.8180 ║
║        386.5200 │             2.8270 │        34.1860 │       2.8810 ║
║        385.4000 │             2.8300 │        34.1860 │       2.9270 ║
║        384.4400 │             2.8300 │        34.1860 │       2.8290 ║
║        383.4800 │             2.8310 │        34.1850 │       2.7850 ║
║        382.5200 │             2.8310 │        34.1850 │       2.8620 ║
║        381.5200 │             2.8300 │        34.1830 │       2.8840 ║
║        380.5200 │             2.8300 │        34.1840 │       2.7850 ║
║        379.5600 │             2.8300 │        34.1840 │       2.8730 ║
║        378.5600 │             2.8310 │        34.1840 │       2.9710 ║
║        377.5600 │             2.8310 │        34.1840 │       2.8620 ║
║        376.5600 │             2.8310 │        34.1830 │       2.8290 ║
║        375.6000 │             2.8300 │        34.1830 │       2.9600 ║
║        374.6000 │             2.8300 │        34.1840 │       2.8070 ║
║        373.6000 │             2.8290 │        34.1820 │       2.9490 ║
║        372.5600 │             2.8260 │        34.1830 │       2.8730 ║
║        371.5600 │             2.8240 │        34.1820 │       2.9270 ║
║        370.6000 │             2.8230 │        34.1810 │       2.8180 ║
║        369.5200 │             2.8230 │        34.1820 │       2.9160 ║
║        368.4400 │             2.8220 │        34.1820 │       2.8290 ║
║        367.5200 │             2.8190 │        34.1800 │       2.8400 ║
║        366.5200 │             2.8160 │        34.1810 │       2.9270 ║
║        365.4800 │             2.8170 │        34.1800 │       2.8070 ║
║        364.4000 │             2.8160 │        34.1820 │       2.9160 ║
║        363.4000 │             2.8130 │        34.1790 │       2.8870 ║
║        362.5600 │             2.8070 │        34.1800 │       2.8140 ║
║        361.5600 │             2.8030 │        34.1790 │       2.8400 ║
║        360.4400 │             2.7950 │        34.1770 │       2.9270 ║
║        359.4800 │             2.7850 │        34.1730 │       2.9890 ║
║        358.4800 │             2.7750 │        34.1740 │       2.8070 ║
║        357.5200 │             2.7700 │        34.1720 │       2.9740 ║
║        356.5600 │             2.7620 │        34.1690 │       2.8290 ║
║        355.4000 │             2.7570 │        34.1680 │       2.9160 ║
║        354.4000 │             2.7560 │        34.1680 │       2.9160 ║
║        353.4400 │             2.7560 │        34.1660 │       2.8180 ║
║        352.4400 │             2.7550 │        34.1650 │       2.8730 ║
║        351.4800 │             2.7560 │        34.1650 │       2.8400 ║
║        350.4800 │             2.7560 │        34.1670 │       2.7850 ║
║        349.5200 │             2.7590 │        34.1650 │       2.9160 ║
║        348.4400 │             2.7630 │        34.1650 │       2.8510 ║
║        347.4800 │             2.7710 │        34.1640 │       2.8140 ║
║        346.5200 │             2.7720 │        34.1640 │       2.8400 ║
║        345.4400 │             2.7730 │        34.1640 │       2.7850 ║
║        344.4800 │             2.7750 │        34.1650 │       2.9020 ║
║        343.5200 │             2.7760 │        34.1630 │       2.8510 ║
║        342.4400 │             2.7840 │        34.1650 │       2.8180 ║
║        341.4800 │             2.7970 │        34.1650 │       2.7710 ║
║        340.5200 │             2.8060 │        34.1620 │       2.8510 ║
║        339.4400 │             2.8070 │        34.1640 │       2.7520 ║
║        338.4800 │             2.8090 │        34.1630 │       2.7270 ║
║        337.5200 │             2.8110 │        34.1640 │       2.8400 ║
║        336.5200 │             2.8140 │        34.1640 │       2.8580 ║
║        335.4800 │             2.8170 │        34.1620 │       2.7850 ║
║        334.4000 │             2.8180 │        34.1620 │       2.9450 ║
║        333.4800 │             2.8170 │        34.1610 │       2.8140 ║
║        332.5600 │             2.8080 │        34.1590 │       2.7850 ║
║        331.4800 │             2.7930 │        34.1580 │       2.9050 ║
║        330.3600 │             2.7950 │        34.1580 │       2.8290 ║
║        329.4400 │             2.7820 │        34.1520 │       2.8870 ║
║        328.4800 │             2.7640 │        34.1510 │       2.8290 ║
║        327.5600 │             2.7570 │        34.1520 │       2.7270 ║
║        326.6000 │             2.7470 │        34.1450 │       2.8290 ║
║        325.5200 │             2.7230 │        34.1440 │       2.8510 ║
║        324.3600 │             2.7150 │        34.1450 │       2.8430 ║
║        323.4400 │             2.7100 │        34.1450 │       2.8290 ║
║        322.4800 │             2.7010 │        34.1420 │       2.8580 ║
║        321.5200 │             2.6970 │        34.1420 │       2.8870 ║
║        320.6000 │             2.6970 │        34.1430 │       2.9020 ║
║        319.4800 │             2.7000 │        34.1420 │       2.6970 ║
║        318.3600 │             2.7010 │        34.1410 │       2.8290 ║
║        317.4400 │             2.6980 │        34.1430 │       2.8000 ║
║        316.4800 │             2.6960 │        34.1390 │       2.7560 ║
║        315.5200 │             2.6900 │        34.1390 │       2.7560 ║
║        314.6000 │             2.6900 │        34.1370 │       2.8870 ║
║        313.4800 │             2.6890 │        34.1380 │       2.7740 ║
║        312.4000 │             2.6850 │        34.1360 │       2.8140 ║
║        311.4400 │             2.6810 │        34.1370 │       2.8140 ║
║        310.5200 │             2.6740 │        34.1350 │       2.8000 ║
║        309.5600 │             2.6740 │        34.1320 │       2.7560 ║
║        308.6000 │             2.6680 │        34.1300 │       2.8290 ║
║        307.4800 │             2.6650 │        34.1320 │       2.7630 ║
║        306.4000 │             2.6650 │        34.1300 │       2.8290 ║
║        305.4000 │             2.6640 │        34.1280 │       2.6830 ║
║        304.4800 │             2.6570 │        34.1280 │       2.7410 ║
║        303.4800 │             2.6550 │        34.1270 │       2.7120 ║
║        302.4800 │             2.6550 │        34.1290 │       2.7120 ║
║        301.4000 │             2.6530 │        34.1270 │       2.8290 ║
║        300.4800 │             2.6470 │        34.1250 │       2.7850 ║
