=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 71
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-01-06 13:02:00 UTC
latitude:  69.0939397
longitude: -51.9943417
ttf:       170
nsat:      5
min snr:   0
mean snr:  31
max snr:   45
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-01-11 15:37:00 UTC
latitude:  69.0945841
longitude: -51.9892713
ttf:       100
nsat:      5
min snr:   0
mean snr:  29
max snr:   43
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        456.9200 │             2.8200 │        34.2230 │         222600 ║
║        456.8400 │             2.8190 │        34.2210 │         224400 ║
║        456.7600 │             2.8200 │        34.2220 │         226200 ║
║        456.6800 │             2.8180 │        34.2200 │         228000 ║
║        456.6800 │             2.8170 │        34.2200 │         229800 ║
║        456.6400 │             2.8190 │        34.2190 │         231600 ║
║        456.6400 │             2.8230 │        34.2200 │         233400 ║
║        456.6800 │             2.8220 │        34.2230 │         235200 ║
║        456.7200 │             2.8230 │        34.2240 │         237000 ║
║        456.8000 │             2.8230 │        34.2220 │         238800 ║
║        456.9200 │             2.8240 │        34.2250 │         240600 ║
║        457.0400 │             2.8260 │        34.2210 │         242400 ║
║        457.1600 │             2.8280 │        34.2220 │         244200 ║
║        457.3200 │             2.8290 │        34.2230 │         246000 ║
║        457.4400 │             2.8310 │        34.2220 │         247800 ║
║        457.6000 │             2.8310 │        34.2210 │         249600 ║
║        457.7200 │             2.8300 │        34.2210 │         251400 ║
║        457.8000 │             2.8280 │        34.2220 │         253200 ║
║        457.8400 │             2.8260 │        34.2200 │         255000 ║
║        457.8800 │             2.8230 │        34.2210 │         256800 ║
║        457.8400 │             2.8230 │        34.2200 │         258600 ║
║        457.7600 │             2.8230 │        34.2170 │         260400 ║
║        457.6400 │             2.8230 │        34.2200 │         262200 ║
║        457.4800 │             2.8230 │        34.2210 │         264000 ║
║        457.3600 │             2.8220 │        34.2210 │         265800 ║
║        457.2000 │             2.8240 │        34.2210 │         267600 ║
║        457.0000 │             2.8260 │        34.2210 │         269400 ║
║        456.8400 │             2.8270 │        34.2240 │         271200 ║
║        456.6800 │             2.8230 │        34.2200 │         273000 ║
║        456.5200 │             2.8160 │        34.2240 │         274800 ║
║        456.4000 │             2.8100 │        34.2210 │         276600 ║
║        456.2800 │             2.8010 │        34.2170 │         278400 ║
║        456.2400 │             2.8100 │        34.2150 │         280200 ║
║        456.2400 │             2.8270 │        34.2200 │         282000 ║
║        456.2800 │             2.8150 │        34.2240 │         283800 ║
║        456.3200 │             2.8210 │        34.2210 │         285600 ║
║        456.4000 │             2.8200 │        33.9040 │         287400 ║
║        456.5200 │             2.8230 │        34.2210 │         289200 ║
║        456.6000 │             2.8260 │        34.2220 │         291000 ║
║        456.7200 │             2.8270 │        34.2200 │         292800 ║
║        456.8400 │             2.8250 │        34.2200 │         294600 ║
║        456.9200 │             2.8220 │        34.2220 │         296400 ║
║        457.0400 │             2.8220 │        34.2170 │         298200 ║
