=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 77
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2022-02-06 06:17:00 UTC
latitude:  69.0950683
longitude: -51.985653
ttf:       10
nsat:      6
min snr:   26
mean snr:  33
max snr:   39
hdop:      1.7

fix kind:  DiveEnd
fix time:  2022-02-11 08:55:00 UTC
latitude:  69.0966182
longitude: -51.9748802
ttf:       230
nsat:      5
min snr:   0
mean snr:  30
max snr:   39
hdop:      4.6

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        467.1200 │             2.8030 │        34.1940 │         301800 ║
║        467.0400 │             2.8080 │        34.1950 │         303600 ║
║        467.0000 │             2.8130 │        34.2000 │         305400 ║
║        467.0000 │             2.8130 │        34.1990 │         307200 ║
║        466.9600 │             2.8140 │        34.1990 │         309000 ║
║        466.9600 │             2.8160 │        34.1980 │         310800 ║
║        467.0400 │             2.8170 │        34.1990 │         312600 ║
║        467.0800 │             2.8200 │        34.1990 │         314400 ║
║        467.1600 │             2.8200 │        34.2000 │         316200 ║
║        467.2800 │             2.8170 │        34.2020 │         318000 ║
║        467.4000 │             2.8160 │        34.1940 │         319800 ║
║        467.5200 │             2.8140 │        34.1970 │         321600 ║
║        467.6400 │             2.8150 │        34.1980 │         323400 ║
║        467.7200 │             2.8160 │        34.1980 │         325200 ║
║        467.8000 │             2.8160 │        34.1990 │         327000 ║
║        467.8800 │             2.8170 │        34.1950 │         328800 ║
║        467.9200 │             2.8180 │        34.1970 │         330600 ║
║        467.9600 │             2.8180 │        34.1950 │         332400 ║
║        467.9600 │             2.8180 │        34.1520 │         334200 ║
║        467.9600 │             2.8180 │        34.1760 │         336000 ║
║        467.9600 │             2.8190 │        34.1980 │         337800 ║
║        467.9600 │             2.8200 │        34.2010 │         339600 ║
║        467.9200 │             2.8200 │        34.1970 │         341400 ║
║        467.8400 │             2.8200 │        34.2030 │         343200 ║
║        467.8000 │             2.8200 │        34.2000 │         345000 ║
║        467.7200 │             2.8210 │        34.2030 │         346800 ║
║        467.6400 │             2.8230 │        34.2030 │         348600 ║
║        467.6000 │             2.8250 │        34.2040 │         350400 ║
║        467.5600 │             2.8250 │        34.2040 │         352200 ║
║        467.5200 │             2.8270 │        34.2000 │         354000 ║
║        467.5200 │             2.8260 │        34.2020 │         355800 ║
║        467.5200 │             2.8250 │        34.2020 │         357600 ║
║        467.5600 │             2.8260 │        34.2020 │         359400 ║
║        467.5600 │             2.8250 │        34.2060 │         361200 ║
║        467.5600 │             2.8250 │        34.2020 │         363000 ║
║        467.5600 │             2.8250 │        34.1790 │         364800 ║
║        467.6000 │             2.8250 │        34.2050 │         366600 ║
║        467.6000 │             2.8250 │        34.2030 │         368400 ║
║        467.6400 │             2.8250 │        34.2010 │         370200 ║
║        467.6400 │             2.8250 │        34.2030 │         372000 ║
║        467.6800 │             2.8250 │        34.2020 │         373800 ║
║        467.6800 │             2.8230 │        34.1980 │         375600 ║
║        467.6400 │             2.8220 │        34.2000 │         377400 ║
║        467.6000 │             2.8220 │        34.1960 │         379200 ║
║        467.5200 │             2.8210 │        34.2000 │         381000 ║
║        467.4400 │             2.8200 │        34.2000 │         382800 ║
║        467.3600 │             2.8210 │        34.1950 │         384600 ║
║        467.2800 │             2.8190 │        34.1980 │         386400 ║
║        467.2400 │             2.8190 │        34.1970 │         388200 ║
║        467.1600 │             2.8200 │        34.1960 │         390000 ║
║        467.0800 │             2.8210 │        34.1980 │         391800 ║
║        467.0400 │             2.8210 │        34.1980 │         393600 ║
║        467.0000 │             2.8210 │        34.1990 │         395400 ║
║        466.9600 │             2.8190 │        34.1980 │         397200 ║
║        466.9200 │             2.8200 │        34.1960 │         399000 ║
║        466.9600 │             2.8190 │        34.1970 │         400800 ║
║        467.0000 │             2.8190 │        34.1950 │         402600 ║
║        467.0400 │             2.8170 │        34.1940 │         404400 ║
║        467.1600 │             2.8120 │        34.1930 │         406200 ║
║        467.2400 │             2.8160 │        34.1940 │         408000 ║
║        467.4000 │             2.8140 │        34.1940 │         409800 ║
║        467.5200 │             2.8130 │        34.1920 │         411600 ║
║        467.6400 │             2.8110 │        34.1920 │         413400 ║
║        467.7600 │             2.8020 │        34.1930 │         415200 ║
║        467.8400 │             2.8030 │        34.1860 │         417000 ║
║        467.9600 │             2.8030 │        34.1860 │         418800 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        468.2000 │             2.8060 │        34.1910 │       2.8200 ║
║        467.4800 │             2.8050 │        34.1950 │       2.9600 ║
║        466.4800 │             2.8010 │        34.1980 │       2.8900 ║
║        465.5200 │             2.7980 │        34.2000 │       2.8380 ║
║        464.5200 │             2.7980 │        34.2020 │       2.8640 ║
