=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 61
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-11-16 08:58:00 UTC
latitude:  69.093438
longitude: -51.9882407
ttf:       0
nsat:      5
min snr:   31
mean snr:  38
max snr:   42
hdop:      1

fix kind:  DiveEnd
fix time:  2021-11-21 11:35:00 UTC
latitude:  69.0931073
longitude: -51.9830195
ttf:       30
nsat:      8
min snr:   0
mean snr:  32
max snr:   44
hdop:      1

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        458.1200 │             2.7080 │        34.2120 │         143401 ║
║        458.1600 │             2.7060 │        34.2120 │         145201 ║
║        458.3200 │             2.7080 │        34.2060 │         147001 ║
║        458.4800 │             2.7170 │        34.2110 │         148801 ║
║        458.7200 │             2.7190 │        34.2130 │         150601 ║
║        458.9600 │             2.7130 │        34.2140 │         152401 ║
║        459.2400 │             2.7050 │        34.2100 │         154201 ║
║        459.4800 │             2.6950 │        34.2080 │         156001 ║
║        459.7200 │             2.6900 │        34.2080 │         157801 ║
║        459.9200 │             2.6900 │        34.2060 │         159601 ║
║        460.0800 │             2.6900 │        34.2050 │         161401 ║
║        460.2000 │             2.6880 │        34.2070 │         163201 ║
║        460.2000 │             2.6860 │        34.2040 │         165001 ║
║        460.2000 │             2.6840 │        34.2050 │         166801 ║
║        460.1200 │             2.6860 │        34.2030 │         168601 ║
║        460.0000 │             2.6880 │        34.2060 │         170401 ║
║        459.8400 │             2.6900 │        34.2070 │         172201 ║
║        459.6400 │             2.7000 │        34.2070 │         174001 ║
║        459.4400 │             2.7030 │        34.2100 │         175801 ║
║        459.2400 │             2.7020 │        34.2100 │         177601 ║
║        459.0800 │             2.7010 │        34.2080 │         179401 ║
║        458.8800 │             2.7080 │        34.2090 │         181201 ║
║        458.7600 │             2.7140 │        34.2110 │         183001 ║
║        458.6400 │             2.7160 │        34.2120 │         184801 ║
║        458.5600 │             2.7210 │        34.2120 │         186601 ║
║        458.5600 │             2.7240 │        34.2140 │         188401 ║
║        458.6000 │             2.7240 │        34.2130 │         190201 ║
║        458.7200 │             2.7230 │        34.2120 │         192001 ║
║        458.8400 │             2.7230 │        34.2130 │         193801 ║
║        458.9600 │             2.7240 │        34.2110 │         195601 ║
║        459.1200 │             2.7230 │        34.2100 │         197401 ║
║        459.3200 │             2.7200 │        34.2100 │         199201 ║
║        459.4400 │             2.7200 │        34.2090 │         201001 ║
║        459.6000 │             2.7200 │        34.2110 │         202801 ║
║        459.6800 │             2.7170 │        34.2120 │         204601 ║
║        459.7600 │             2.7150 │        34.2110 │         206401 ║
║        459.8000 │             2.7180 │        34.2090 │         208201 ║
║        459.8000 │             2.7140 │        34.2090 │         210001 ║
║        459.7200 │             2.7090 │        34.2050 │         211801 ║
║        459.6000 │             2.7070 │        34.2100 │         213601 ║
║        459.4400 │             2.7120 │        34.2070 │         215401 ║
║        459.2000 │             2.7180 │        34.2110 │         217201 ║
║        459.0000 │             2.7190 │        34.2130 │         219001 ║
║        458.7600 │             2.7160 │        34.2110 │         220801 ║
║        458.5600 │             2.7170 │        34.2110 │         222601 ║
║        458.3600 │             2.7170 │        34.2120 │         224401 ║
║        458.2400 │             2.7210 │        34.2130 │         226201 ║
║        458.1600 │             2.7190 │        34.2120 │         228001 ║
║        458.1200 │             2.7200 │        34.2100 │         229801 ║
║        458.1200 │             2.7200 │        34.2130 │         231601 ║
║        458.2000 │             2.7200 │        34.2110 │         233401 ║
║        458.3600 │             2.7200 │        34.2130 │         235201 ║
║        458.5600 │             2.7190 │        34.2110 │         237001 ║
║        458.8000 │             2.7190 │        34.2090 │         238801 ║
║        459.0400 │             2.7200 │        34.2120 │         240601 ║
║        459.3200 │             2.7190 │        34.2100 │         242401 ║
║        459.6000 │             2.7190 │        34.2100 │         244201 ║
║        459.8400 │             2.7180 │        34.2130 │         246001 ║
║        460.0800 │             2.7210 │        34.2070 │         247801 ║
║        460.2400 │             2.7190 │        34.2110 │         249601 ║
║        460.3600 │             2.7190 │        34.2110 │         251401 ║
║        460.4000 │             2.7170 │        34.2100 │         253201 ║
║        460.4000 │             2.7170 │        34.2100 │         255001 ║
║        460.3200 │             2.7180 │        34.2110 │         256801 ║
║        460.1600 │             2.7180 │        34.2090 │         258601 ║
║        460.0000 │             2.7180 │        34.2100 │         260401 ║
