=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 88
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  1980-01-06 00:00:00 UTC
latitude:  0
longitude: 0
ttf:       0
nsat:      0
min snr:   0
mean snr:  0
max snr:   0
hdop:      0

fix kind:  DiveEnd
fix time:  2022-04-08 19:42:00 UTC
latitude:  69.103968
longitude: -51.9383141
ttf:       80
nsat:      9
min snr:   0
mean snr:  34
max snr:   46
hdop:      0.9

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        410.5600 │             2.8850 │        34.1880 │         319801 ║
║        410.5600 │             2.8860 │        34.1900 │         321601 ║
║        410.5600 │             2.8840 │        34.1890 │         323401 ║
║        410.4800 │             2.8800 │        34.1890 │         325201 ║
║        410.4000 │             2.8760 │        34.1850 │         327001 ║
║        410.3200 │             2.8720 │        34.1870 │         328801 ║
║        410.2000 │             2.8630 │        34.1840 │         330601 ║
║        410.0800 │             2.8510 │        34.1780 │         332401 ║
║        409.9600 │             2.8780 │        34.1860 │         334201 ║
║        409.8800 │             2.8980 │        34.1910 │         336001 ║
║        409.8000 │             2.9160 │        34.1930 │         337801 ║
║        409.7600 │             2.9240 │        34.1970 │         339601 ║
║        409.7200 │             2.9250 │        34.1960 │         341401 ║
║        409.6800 │             2.9300 │        34.1990 │         343201 ║
║        409.7200 │             2.9200 │        34.1940 │         345001 ║
║        409.7600 │             2.8930 │        34.1900 │         346801 ║
║        409.8000 │             2.9110 │        34.1940 │         348601 ║
║        409.8800 │             2.8960 │        34.1880 │         350401 ║
║        410.0000 │             2.8960 │        34.1930 │         352201 ║
║        410.1600 │             2.8950 │        34.1900 │         354001 ║
║        410.3200 │             2.9010 │        34.1930 │         355801 ║
║        410.4800 │             2.9120 │        34.1880 │         357601 ║
║        410.6400 │             2.9250 │        34.1940 │         359401 ║
║        410.7600 │             2.9300 │        34.1950 │         361201 ║
║        410.9200 │             2.9290 │        34.1950 │         363001 ║
║        411.0000 │             2.9300 │        34.1960 │         364801 ║
║        411.0400 │             2.9180 │        34.1950 │         366601 ║
║        411.0400 │             2.9030 │        34.1900 │         368401 ║
║        411.0400 │             2.9010 │        34.1870 │         370201 ║
║        411.0000 │             2.9010 │        34.1870 │         372001 ║
║        410.9200 │             2.8600 │        34.1760 │         373801 ║
║        410.8400 │             2.8630 │        34.1790 │         375601 ║
║        410.7600 │             2.8740 │        34.1830 │         377401 ║
║        410.6400 │             2.8760 │        34.1810 │         379201 ║
║        410.5600 │             2.8710 │        34.1800 │         381001 ║
║        410.4400 │             2.8870 │        34.1860 │         382801 ║
║        410.3600 │             2.9040 │        34.1890 │         384601 ║
║        410.2400 │             2.9050 │        34.1910 │         386401 ║
║        410.2000 │             2.9060 │        34.1900 │         388201 ║
║        410.1600 │             2.8920 │        34.1880 │         390001 ║
║        410.1600 │             2.8850 │        34.1860 │         391801 ║
║        410.1600 │             2.8860 │        34.1860 │         393601 ║
║        410.2000 │             2.8840 │        34.1850 │         395401 ║
║        410.2000 │             2.8790 │        34.1840 │         397201 ║
║        410.2400 │             2.8770 │        34.1820 │         399001 ║
║        410.2800 │             2.8770 │        34.1810 │         400801 ║
║        410.2800 │             2.8780 │        34.1820 │         402601 ║
║        410.3200 │             2.8780 │        34.1840 │         404401 ║
║        410.3200 │             2.8790 │        34.1840 │         406201 ║
║        410.3600 │             2.8790 │        34.1840 │         408001 ║
║        410.3600 │             2.8790 │        34.1840 │         409801 ║
║        410.4000 │             2.8800 │        34.1810 │         411601 ║
║        410.3600 │             2.8790 │        34.1830 │         413401 ║
║        410.3200 │             2.8790 │        34.1810 │         415201 ║
║        410.2800 │             2.8780 │        34.1820 │         417001 ║
║        410.2000 │             2.8760 │        34.1830 │         418801 ║
╚═════════════════╧════════════════════╧════════════════╧════════════════╝


ascending: binned:
╔═════════════════╤════════════════════╤════════════════╤══════════════╗
║ pressure (dBar) │ temperature (degC) │ salinity (psu) │ tcond (degC) ║
╟─────────────────┼────────────────────┼────────────────┼──────────────╢
║        410.2400 │             2.8760 │        34.1820 │       2.9250 ║
║        409.5600 │             2.8750 │        34.1830 │       2.9110 ║
║        408.5600 │             2.8730 │        34.1830 │       2.9240 ║
║        407.5200 │             2.8640 │        34.1830 │       2.9160 ║
║        406.5200 │             2.8640 │        34.1820 │       2.9770 ║
║        405.5600 │             2.8640 │        34.1830 │       2.9080 ║
║        404.5200 │             2.8640 │        34.1830 │       2.8870 ║
║        403.4400 │             2.8650 │        34.1840 │       2.8990 ║
║        402.4800 │             2.8650 │        34.1830 │       3.0210 ║
║        401.5200 │             2.8630 │        34.1840 │       2.9600 ║
║        400.5200 │             2.8620 │        34.1840 │       2.9250 ║
║        399.5200 │             2.8630 │        34.1830 │       2.9080 ║
║        398.5200 │             2.8630 │        34.1830 │       2.8730 ║
║        397.5200 │             2.8620 │        34.1830 │       2.9160 ║
║        396.4800 │             2.8600 │        34.1830 │       2.8900 ║
║        395.4400 │             2.8550 │        34.1820 │       2.9250 ║
║        394.4400 │             2.8540 │        34.1820 │       2.8730 ║
║        393.4800 │             2.8530 │        34.1830 │       2.9600 ║
║        392.5600 │             2.8530 │        34.1820 │       2.8810 ║
║        391.5200 │             2.8540 │        34.1810 │       2.9250 ║
║        390.4400 │             2.8540 │        34.1830 │       2.8730 ║
║        389.4400 │             2.8540 │        34.1820 │       2.9050 ║
║        388.4800 │             2.8550 │        34.1820 │       2.9820 ║
║        387.4800 │             2.8530 │        34.1830 │       2.9490 ║
║        386.4400 │             2.8530 │        34.1840 │       2.8940 ║
║        385.5200 │             2.8520 │        34.1880 │       2.8290 ║
║        384.4800 │             2.8520 │        34.1880 │       2.8990 ║
║        383.4400 │             2.8520 │        34.1880 │       3.0030 ║
║        382.5200 │             2.8520 │        34.1870 │       2.8400 ║
║        381.4800 │             2.8500 │        34.1880 │       2.8620 ║
║        380.4000 │             2.8490 │        34.1870 │       2.8620 ║
║        379.4800 │             2.8490 │        34.1880 │       2.8430 ║
║        378.5600 │             2.8480 │        34.1870 │       2.8840 ║
