=============
Float 9250 (Alamo/Alto)
-------------
Float 9250, Dive 68
Product ID STANDARD
Software Version 8.0.5
Trajectory
GPS fixes:
fix kind:  DiveStart
fix time:  2021-12-22 04:33:00 UTC
latitude:  69.0914764
longitude: -52.0090284
ttf:       0
nsat:      5
min snr:   17
mean snr:  20
max snr:   23
hdop:      1.2

fix kind:  DiveEnd
fix time:  2021-12-27 07:07:00 UTC
latitude:  69.0915891
longitude: -52.0103031
ttf:       230
nsat:      6
min snr:   0
mean snr:  26
max snr:   35
hdop:      2

Fall/Rise series:
╔════════════╤═════════════════╤═══════════════╗
║       time │ pressure (dBar) │          code ║
║        443.7600 │             2.7880 │        34.2160 │         215401 ║
║        443.6800 │             2.7900 │        34.2180 │         217201 ║
║        443.6800 │             2.7870 │        34.2140 │         219001 ║
║        443.7200 │             2.7810 │        34.2160 │         220801 ║
║        443.7600 │             2.7760 │        34.2150 │         222601 ║
║        443.8400 │             2.7730 │        34.2100 │         224401 ║
║        443.9600 │             2.7730 │        34.2120 │         226201 ║
║        444.0400 │             2.7710 │        34.2140 │         228001 ║
║        444.1200 │             2.7710 │        34.2100 │         229801 ║
║        444.2000 │             2.7700 │        34.2090 │         231601 ║
║        444.2800 │             2.7690 │        34.2110 │         233401 ║
║        444.3200 │             2.7700 │        34.2140 │         235201 ║
║        444.3600 │             2.7710 │        34.2090 │         237001 ║
║        444.3600 │             2.7710 │        34.2110 │         238801 ║
║        444.3600 │             2.7740 │        34.2110 │         240601 ║
║        444.3200 │             2.7760 │        34.2120 │         242401 ║
║        444.2400 │             2.7760 │        34.2120 │         244201 ║
║        444.1600 │             2.7760 │        34.2130 │         246001 ║
║        444.0800 │             2.7760 │        34.2110 │         247801 ║
║        443.9600 │             2.7740 │        34.2110 │         249601 ║
║        443.8800 │             2.7710 │        34.2100 │         251401 ║
║        443.7600 │             2.7720 │        34.2100 │         253201 ║
║        443.7200 │             2.7750 │        34.2140 │         255001 ║
║        443.6800 │             2.7780 │        34.2130 │         256801 ║
║        443.6400 │             2.7800 │        34.2130 │         258601 ║
║        443.6800 │             2.7780 │        34.2120 │         260401 ║
║        443.7200 │             2.7790 │        34.2120 │         262201 ║
║        443.8400 │             2.7760 │        34.2120 │         264001 ║
║        443.9600 │             2.7800 │        34.2150 │         265801 ║
║        444.1200 │             2.7780 │        34.2150 │         267601 ║
║        444.2800 │             2.7810 │        34.2160 │         269401 ║
║        444.4800 │             2.7840 │        34.2140 │         271201 ║
║        444.6400 │             2.7860 │        34.2190 │         273001 ║
║        444.8400 │             2.7920 │        34.2170 │         274801 ║
║        445.0000 │             2.7930 │        34.2130 │         276601 ║
║        445.1600 │             2.7940 │        34.2170 │         278401 ║
║        445.2400 │             2.7930 │        34.2110 │         280201 ║
║        445.3200 │             2.7930 │        34.2150 │         282001 ║
║        445.3200 │             2.7920 │        34.2150 │         283801 ║
║        445.2800 │             2.7910 │        34.2160 │         285601 ║
║        445.2000 │             2.7740 │        34.2300 │         287401 ║
║        445.0800 │             2.7730 │        34.2130 │         289201 ║
║        444.9600 │             2.7920 │        34.2150 │         291001 ║
║        444.8000 │             2.7920 │        34.2190 │         292801 ║
║        444.6400 │             2.7900 │        34.2180 │         294601 ║
║        444.4400 │             2.7870 │        34.2160 │         296401 ║
║        444.2800 │             2.7890 │        34.2180 │         298201 ║
║        444.1200 │             2.7830 │        34.2160 │         300001 ║
║        444.0000 │             2.7840 │        34.2150 │         301801 ║
║        443.8800 │             2.7780 │        34.1780 │         303601 ║
║        443.8000 │             2.7810 │        34.2140 │         305401 ║
║        443.7200 │             2.8050 │        34.2220 │         307201 ║
║        443.7200 │             2.8150 │        34.2220 │         309001 ║
║        443.7600 │             2.8200 │        34.2230 │         310801 ║
║        443.8000 │             2.8160 │        34.2180 │         312601 ║
║        443.8800 │             2.8140 │        34.2220 │         314401 ║
║        443.9600 │             2.8100 │        34.2170 │         316201 ║
║        444.0800 │             2.8080 │        34.2190 │         318001 ║
║        444.1600 │             2.8070 │        34.2180 │         319801 ║
║        444.2400 │             2.8070 │        34.2150 │         321601 ║
║        444.2800 │             2.8070 │        34.2180 │         323401 ║
║        444.3600 │             2.8050 │        34.2190 │         325201 ║
║        444.4000 │             2.8040 │        34.2180 │         327001 ║
║        444.4000 │             2.8050 │        34.2160 │         328801 ║
║        444.4000 │             2.8040 │        34.2160 │         330601 ║
║        444.3600 │             2.8070 │        34.2140 │         332401 ║
║        444.3200 │             2.8090 │        34.2180 │         334201 ║
║        444.2400 │             2.8100 │        34.2190 │         336001 ║
║        444.1600 │             2.8090 │        34.2200 │         337801 ║
║        444.1200 │             2.8080 │        34.2170 │         339601 ║
