lon,lat,date,depth,temperature,salinity
-50.24107,69.18225,29/08/2019,35.0329,-0.76,30.59
-50.24107,69.18225,29/08/2019,35.1431,-0.76,30.59
-50.24107,69.18225,29/08/2019,35.2534,-0.77,30.61
-50.24107,69.18225,29/08/2019,35.3636,-0.77,30.63
-50.24107,69.18225,29/08/2019,35.4738,-0.75,30.69
-50.24107,69.18225,29/08/2019,35.584,-0.74,30.7
-50.24107,69.18225,29/08/2019,35.6942,,
-50.24107,69.18225,29/08/2019,35.8044,,
-50.24107,69.18225,29/08/2019,35.9146,,
-50.24107,69.18225,29/08/2019,36.0248,,
-50.24107,69.18225,29/08/2019,36.135,,
-50.24107,69.18225,29/08/2019,36.2452,,
-50.24107,69.18225,29/08/2019,36.3554,,
-50.24107,69.18225,29/08/2019,36.4656,,
-50.24107,69.18225,29/08/2019,36.5758,,
-50.24107,69.18225,29/08/2019,36.686,,
-50.24107,69.18225,29/08/2019,36.7962,-0.71,30.77
-50.24107,69.18225,29/08/2019,36.9064,-0.71,30.75
-50.24107,69.18225,29/08/2019,37.0166,-0.72,30.76
-50.24107,69.18225,29/08/2019,37.1268,-0.72,30.76
-50.24107,69.18225,29/08/2019,37.237,-0.7,30.78
-50.24107,69.18225,29/08/2019,37.3472,-0.68,30.8
-50.24107,69.18225,29/08/2019,37.4574,-0.64,30.82
-50.24107,69.18225,29/08/2019,37.5676,-0.63,30.85
-50.24107,69.18225,29/08/2019,37.6778,-0.61,30.85
-50.24107,69.18225,29/08/2019,37.788,-0.61,30.87
-50.24107,69.18225,29/08/2019,37.8982,-0.61,30.89
-50.24107,69.18225,29/08/2019,38.0084,-0.63,30.9
-50.24107,69.18225,29/08/2019,38.1186,-0.64,30.93
-50.24107,69.18225,29/08/2019,38.2288,-0.66,30.92
-50.24107,69.18225,29/08/2019,38.339,-0.66,30.92
-50.24107,69.18225,29/08/2019,38.4492,-0.67,30.93
-50.24107,69.18225,29/08/2019,38.5593,-0.67,30.95
-50.24107,69.18225,29/08/2019,38.6695,-0.67,30.95
-50.24107,69.18225,29/08/2019,38.7797,-0.64,30.97
-50.24107,69.18225,29/08/2019,38.8899,-0.61,31.0
-50.24107,69.18225,29/08/2019,39.0001,-0.61,31.0
-50.24107,69.18225,29/08/2019,39.1103,-0.6,30.99
-50.24107,69.18225,29/08/2019,39.2205,-0.6,31.01
-50.24107,69.18225,29/08/2019,39.3306,-0.6,31.01
-50.24107,69.18225,29/08/2019,39.4408,-0.59,31.02
-50.24107,69.18225,29/08/2019,39.551,-0.59,31.02
-50.24107,69.18225,29/08/2019,39.6612,-0.58,31.0
-50.24107,69.18225,29/08/2019,39.7714,,
-50.24107,69.18225,29/08/2019,39.8815,,
-50.24107,69.18225,29/08/2019,39.9917,,
-50.24107,69.18225,29/08/2019,40.1019,,
-50.24107,69.18225,29/08/2019,40.2121,,
-50.24107,69.18225,29/08/2019,40.3223,,
-50.24107,69.18225,29/08/2019,40.4324,,
-50.24107,69.18225,29/08/2019,40.5426,,
-50.24107,69.18225,29/08/2019,40.6528,,
-50.24107,69.18225,29/08/2019,40.763,,
-50.24107,69.18225,29/08/2019,40.8731,-0.55,31.14
-50.24107,69.18225,29/08/2019,40.9833,-0.55,31.14
-50.24107,69.18225,29/08/2019,41.0935,-0.56,31.15
-50.24107,69.18225,29/08/2019,41.2036,-0.57,31.14
-50.24107,69.18225,29/08/2019,41.3138,-0.57,31.18
-50.24107,69.18225,29/08/2019,41.424,-0.57,31.2
-50.24107,69.18225,29/08/2019,41.5341,-0.55,31.22
-50.24107,69.18225,29/08/2019,41.6443,-0.54,31.27
-50.24107,69.18225,29/08/2019,41.7545,-0.52,31.27
-50.24107,69.18225,29/08/2019,41.8646,-0.48,31.29
-50.24107,69.18225,29/08/2019,41.9748,-0.47,31.3
-50.24107,69.18225,29/08/2019,42.085,-0.45,31.28
-50.24107,69.18225,29/08/2019,42.1951,-0.44,31.29
-50.24107,69.18225,29/08/2019,42.3053,-0.44,31.29
-50.24107,69.18225,29/08/2019,42.4155,-0.43,31.3
-50.24107,69.18225,29/08/2019,42.5256,-0.43,31.3
-50.24107,69.18225,29/08/2019,42.6358,-0.43,31.32
-50.24107,69.18225,29/08/2019,42.7459,-0.43,31.34
-50.24107,69.18225,29/08/2019,42.8561,-0.42,31.35
-50.24107,69.18225,29/08/2019,42.9663,-0.42,31.35
-50.24107,69.18225,29/08/2019,43.0764,-0.42,31.35
-50.24107,69.18225,29/08/2019,43.1866,-0.41,31.36
-50.24107,69.18225,29/08/2019,43.2967,-0.41,31.36
-50.24107,69.18225,29/08/2019,43.4069,-0.4,31.39
-50.24107,69.18225,29/08/2019,43.517,-0.39,31.4
-50.24107,69.18225,29/08/2019,43.6272,-0.39,31.42
-50.24107,69.18225,29/08/2019,43.7373,-0.38,31.43
-50.24107,69.18225,29/08/2019,43.8475,,
-50.24107,69.18225,29/08/2019,43.9576,,
-50.24107,69.18225,29/08/2019,44.0678,,
-50.24107,69.18225,29/08/2019,44.1779,,
-50.24107,69.18225,29/08/2019,44.2881,,
-50.24107,69.18225,29/08/2019,44.3982,,
-50.24107,69.18225,29/08/2019,44.5084,,
-50.24107,69.18225,29/08/2019,44.6185,,
-50.24107,69.18225,29/08/2019,44.7287,,
-50.24107,69.18225,29/08/2019,44.8388,,
-50.24107,69.18225,29/08/2019,44.949,,
-50.24107,69.18225,29/08/2019,45.0591,-0.29,31.67
-50.24107,69.18225,29/08/2019,45.1693,-0.28,31.68
-50.24107,69.18225,29/08/2019,45.2794,-0.28,31.7
-50.24107,69.18225,29/08/2019,45.3895,-0.27,31.71
-50.24107,69.18225,29/08/2019,45.4997,-0.27,31.71
-50.24107,69.18225,29/08/2019,45.6098,-0.27,31.71
-50.24107,69.18225,29/08/2019,45.72,-0.26,31.72
-50.24107,69.18225,29/08/2019,45.8301,-0.27,31.73
-50.24107,69.18225,29/08/2019,45.9402,-0.26,31.74
-50.24107,69.18225,29/08/2019,46.0504,-0.26,31.74
-50.24107,69.18225,29/08/2019,46.1605,-0.26,31.74
-50.24107,69.18225,29/08/2019,46.2706,-0.26,31.76
-50.24107,69.18225,29/08/2019,46.3808,-0.26,31.78
-50.24107,69.18225,29/08/2019,46.4909,-0.25,31.81
-50.24107,69.18225,29/08/2019,46.601,-0.24,31.84
-50.24107,69.18225,29/08/2019,46.7112,-0.23,31.87
-50.24107,69.18225,29/08/2019,46.8213,-0.22,31.88
-50.24107,69.18225,29/08/2019,46.9314,-0.22,31.9
-50.24107,69.18225,29/08/2019,47.0416,-0.22,31.9
-50.24107,69.18225,29/08/2019,47.1517,-0.22,31.9
-50.24107,69.18225,29/08/2019,47.2618,-0.21,31.91
-50.24107,69.18225,29/08/2019,47.372,-0.21,31.93
-50.24107,69.18225,29/08/2019,47.4821,-0.21,31.95
-50.24107,69.18225,29/08/2019,47.5922,-0.2,31.96
-50.24107,69.18225,29/08/2019,47.7023,-0.2,31.96
-50.24107,69.18225,29/08/2019,47.8125,-0.2,31.96
-50.24107,69.18225,29/08/2019,47.9226,,
-50.24107,69.18225,29/08/2019,48.0327,,
-50.24107,69.18225,29/08/2019,48.1428,,
-50.24107,69.18225,29/08/2019,48.253,,
-50.24107,69.18225,29/08/2019,48.3631,,
